Object Position Area Diameter Perimeter Circularity Classification
1 "(16, 299)" 714 30 108 77 M
2 "(19, 262)" 454 24 84 81 S
3 "(22, 234)" 260 18 62 85 S
4 "(24, 217)" 121 12 42 86 S
5 "(25, 153)" 46 8 26 86 S
6 "(26, 170)" 50 8 27 86 S
7 "(27, 95)" 107 12 99 14 S
8 "(28, 189)" 13 4 12 113 S
9 "(29, 202)" 34 7 20 107 S
10 "(30, 336)" 132 13 101 16 S
11 "(80, 153)" 67 9 38 58 S
12 "(81, 85)" 30 6 25 60 S
13 "(82, 72)" 17 5 14 109 S
14 "(83, 107)" 9 3 9 140 S
15 "(84, 185)" 37 7 27 64 S
16 "(85, 124)" 23 5 19 80 S
17 "(86, 211)" 85 10 40 67 S
18 "(87, 246)" 79 10 56 32 S
19 "(88, 282)" 92 11 47 52 S
20 "(89, 323)" 144 14 54 62 S
21 "(90, 369)" 54 8 36 52 S
22 "(91, 396)" 44 7 28 71 S
23 "(133, 367)" 183 15 75 41 S
24 "(134, 96)" 116 12 71 29 S
25 "(136, 136)" 109 12 54 47 S
26 "(137, 72)" 91 11 54 39 S
27 "(138, 294)" 146 14 63 46 S
28 "(139, 323)" 368 22 84 66 S
29 "(140, 182)" 162 14 58 61 S
30 "(141, 210)" 244 18 81 47 S
31 "(142, 263)" 175 15 59 63 S
32 "(143, 394)" 145 14 62 47 S
33 "(198, 279)" 1 1 1 1257 S
34 "(206, 264)" 774 31 139 50 M
35 "(209, 114)" 201 16 74 46 S
36 "(210, 68)" 140 13 67 39 S
37 "(211, 155)" 232 17 78 48 S
38 "(212, 204)" 406 23 104 47 S
39 "(213, 317)" 507 25 108 55 M
40 "(214, 381)" 609 28 124 50 M
41 "(268, 168)" 389 22 133 28 S
42 "(270, 291)" 1388 42 264 25 L
43 "(272, 122)" 611 28 129 46 M
44 "(273, 210)" 976 35 162 47 L
45 "(274, 62)" 533 26 106 60 M
46 "(284, 349)" 873 33 196 29 M
